LOCATION,INDICATOR,SUBJECT,FREQUENCY,TIME,Value
AUS,HOUSECOST,NOMINAL,A,1970,2.552379708
AUS,HOUSECOST,NOMINAL,A,1971,2.851352119
AUS,HOUSECOST,NOMINAL,A,1972,3.183667177
AUS,HOUSECOST,NOMINAL,A,1973,3.837183079
AUS,HOUSECOST,NOMINAL,A,1974,4.690199158
AUS,HOUSECOST,NOMINAL,A,1975,5.202008806
AUS,HOUSECOST,NOMINAL,A,1976,5.793840808
AUS,HOUSECOST,NOMINAL,A,1977,6.267862121
AUS,HOUSECOST,NOMINAL,A,1978,6.590174386
AUS,HOUSECOST,NOMINAL,A,1979,7.4604175
AUS,HOUSECOST,NOMINAL,A,1980,8.434578533
AUS,HOUSECOST,NOMINAL,A,1981,9.707711978
AUS,HOUSECOST,NOMINAL,A,1982,10.05503123
AUS,HOUSECOST,NOMINAL,A,1983,10.6296362
AUS,HOUSECOST,NOMINAL,A,1984,11.85386709
AUS,HOUSECOST,NOMINAL,A,1985,13.06198237
AUS,HOUSECOST,NOMINAL,A,1986,13.97025288
AUS,HOUSECOST,NOMINAL,A,1987,14.77893221
AUS,HOUSECOST,NOMINAL,A,1988,18.1088388
AUS,HOUSECOST,NOMINAL,A,1989,22.58760271
AUS,HOUSECOST,NOMINAL,A,1990,22.93364407
AUS,HOUSECOST,NOMINAL,A,1991,23.52883521
AUS,HOUSECOST,NOMINAL,A,1992,23.88871823
AUS,HOUSECOST,NOMINAL,A,1993,24.51159268
AUS,HOUSECOST,NOMINAL,A,1994,25.38954905
AUS,HOUSECOST,NOMINAL,A,1995,25.69604283
AUS,HOUSECOST,NOMINAL,A,1996,25.90366764
AUS,HOUSECOST,NOMINAL,A,1997,26.94179173
AUS,HOUSECOST,NOMINAL,A,1998,28.92114832
AUS,HOUSECOST,NOMINAL,A,1999,31.01914766
AUS,HOUSECOST,NOMINAL,A,2000,33.59567277
AUS,HOUSECOST,NOMINAL,A,2001,37.3685123
AUS,HOUSECOST,NOMINAL,A,2002,44.37238946
AUS,HOUSECOST,NOMINAL,A,2003,52.37565666
AUS,HOUSECOST,NOMINAL,A,2004,55.647
AUS,HOUSECOST,NOMINAL,A,2005,56.66475
AUS,HOUSECOST,NOMINAL,A,2006,60.5795
AUS,HOUSECOST,NOMINAL,A,2007,66.96025
AUS,HOUSECOST,NOMINAL,A,2008,69.60275
AUS,HOUSECOST,NOMINAL,A,2009,72.42125
AUS,HOUSECOST,NOMINAL,A,2010,80.877
AUS,HOUSECOST,NOMINAL,A,2011,79.13475
AUS,HOUSECOST,NOMINAL,A,2012,78.88025
AUS,HOUSECOST,NOMINAL,A,2013,84.1065
AUS,HOUSECOST,NOMINAL,A,2014,91.72025
AUS,HOUSECOST,NOMINAL,A,2015,100
AUS,HOUSECOST,NOMINAL,A,2016,105.5
AUS,HOUSECOST,NOMINAL,A,2017,114.30825
AUS,HOUSECOST,NOMINAL,A,2018,112.66375
AUS,HOUSECOST,NOMINAL,A,2019,108.08375
AUS,HOUSECOST,NOMINAL,A,2020,113.9165
AUS,HOUSECOST,NOMINAL,A,2021,133.76375
AUS,HOUSECOST,NOMINAL,A,2022,142.6500238
AUS,HOUSECOST,PRICEINCOME,A,1970,56.07056473
AUS,HOUSECOST,PRICEINCOME,A,1971,57.53366185
AUS,HOUSECOST,PRICEINCOME,A,1972,58.54151201
AUS,HOUSECOST,PRICEINCOME,A,1973,60.62229206
AUS,HOUSECOST,PRICEINCOME,A,1974,61.53119144
AUS,HOUSECOST,PRICEINCOME,A,1975,57.21958581
AUS,HOUSECOST,PRICEINCOME,A,1976,56.90866709
AUS,HOUSECOST,PRICEINCOME,A,1977,55.77312482
AUS,HOUSECOST,PRICEINCOME,A,1978,53.1555142
AUS,HOUSECOST,PRICEINCOME,A,1979,53.72310927
AUS,HOUSECOST,PRICEINCOME,A,1980,54.6345476
AUS,HOUSECOST,PRICEINCOME,A,1981,56.33923745
AUS,HOUSECOST,PRICEINCOME,A,1982,52.74411381
AUS,HOUSECOST,PRICEINCOME,A,1983,51.59114043
AUS,HOUSECOST,PRICEINCOME,A,1984,52.95288017
AUS,HOUSECOST,PRICEINCOME,A,1985,54.91668285
AUS,HOUSECOST,PRICEINCOME,A,1986,54.86734671
AUS,HOUSECOST,PRICEINCOME,A,1987,54.52822338
AUS,HOUSECOST,PRICEINCOME,A,1988,61.27889282
AUS,HOUSECOST,PRICEINCOME,A,1989,69.11836639
